id,name,kontakt,buget,lokacija,vrsta
1,Sarah Anderson,econibear0@flavors.me,4657528,Celje,land
2,John Smith,cinsworth1@dailymail.co.uk,8497868,Novo Mesto,house
3,Sarah Anderson,mreinbeck2@moonfruit.com,9071909,Ptuj,house
4,John Smith,dlamacraft3@istockphoto.com,3862673,Maribor,land
5,Emily Johnson,lskey4@about.com,6022432,Maribor,land
6,John Smith,wferon5@macromedia.com,2882167,Ptuj,apartment
7,David Wilson,keffaunt6@twitpic.com,422327,Ptuj,apartment
8,David Wilson,wsydney7@jugem.jp,5511317,Kamnik,house
9,Sarah Anderson,ldoe8@smugmug.com,4246891,Koper,house
10,David Wilson,dverchambre9@icio.us,7646923,Kranj,apartment
11,David Wilson,lwelhama@umich.edu,2485002,Ljubljana,land
12,John Smith,rkantorb@squarespace.com,4174647,Novo Mesto,apartment
13,Michael Davis,areevec@t.co,1024636,Celje,apartment
14,Emily Johnson,tbossond@storify.com,5398261,Velenje,apartment
15,Sarah Anderson,fburrowse@smugmug.com,7270010,Velenje,house
16,David Wilson,glambdeanf@dagondesign.com,8031728,Velenje,house
17,Emily Johnson,cbehnekeg@examiner.com,542854,Kamnik,land
18,John Smith,chuburnh@nationalgeographic.com,1081812,Ptuj,apartment
19,John Smith,wothami@blogspot.com,9244533,Maribor,house
20,John Smith,gfieldingj@imdb.com,9687092,Velenje,house
21,Sarah Anderson,mtoplink@go.com,9099072,Ptuj,land
22,David Wilson,wvillel@soup.io,2148004,Kranj,house
23,David Wilson,tclemmittm@so-net.ne.jp,4816652,Kamnik,land
24,Emily Johnson,dstapfordn@cocolog-nifty.com,8441403,Ptuj,land
25,John Smith,maslino@sfgate.com,4878204,Koper,house
26,Sarah Anderson,dhawp@webs.com,5876357,Velenje,land
27,Michael Davis,akristufekq@imdb.com,8611393,Kamnik,land
28,David Wilson,jsimlar@latimes.com,6965905,Celje,house
29,Emily Johnson,lstearness@wix.com,961768,Novo Mesto,apartment
30,Emily Johnson,rlembket@sbwire.com,9638993,Ptuj,house
31,Michael Davis,moughtrightu@goo.ne.jp,3113718,Koper,apartment
32,John Smith,kgrizardv@economist.com,7170066,Celje,land
