id,ime,kontakt,buget,lokacija,vrsta
1,Sarah Anderson,econibear0@flavors.me,4657528,Celje,zemljisce
2,John Smith,cinsworth1@dailymail.co.uk,8497868,Novo Mesto,hisa
3,Sarah Anderson,mreinbeck2@moonfruit.com,9071909,Ptuj,hisa
4,John Smith,dlamacraft3@istockphoto.com,3862673,Maribor,zemljisce
5,Emily Johnson,lskey4@about.com,6022432,Maribor,zemljisce
6,John Smith,wferon5@macromedia.com,2882167,Ptuj,stanovanje
7,David Wilson,keffaunt6@twitpic.com,422327,Ptuj,stanovanje
8,David Wilson,wsydney7@jugem.jp,5511317,Kamnik,hisa
9,Sarah Anderson,ldoe8@smugmug.com,4246891,Koper,hisa
10,David Wilson,dverchambre9@icio.us,7646923,Kranj,stanovanje
11,David Wilson,lwelhama@umich.edu,2485002,Ljubljana,zemljisce
12,John Smith,rkantorb@squarespace.com,4174647,Novo Mesto,stanovanje
13,Michael Davis,areevec@t.co,1024636,Celje,stanovanje
14,Emily Johnson,tbossond@storify.com,5398261,Velenje,stanovanje
15,Sarah Anderson,fburrowse@smugmug.com,7270010,Velenje,hisa
16,David Wilson,glambdeanf@dagondesign.com,8031728,Velenje,hisa
17,Emily Johnson,cbehnekeg@examiner.com,542854,Kamnik,zemljisce
18,John Smith,chuburnh@nationalgeographic.com,1081812,Ptuj,stanovanje
19,John Smith,wothami@blogspot.com,9244533,Maribor,hisa
20,John Smith,gfieldingj@imdb.com,9687092,Velenje,hisa
21,Sarah Anderson,mtoplink@go.com,9099072,Ptuj,zemljisce
22,David Wilson,wvillel@soup.io,2148004,Kranj,hisa
23,David Wilson,tclemmittm@so-net.ne.jp,4816652,Kamnik,zemljisce
24,Emily Johnson,dstapfordn@cocolog-nifty.com,8441403,Ptuj,zemljisce
25,John Smith,maslino@sfgate.com,4878204,Koper,hisa
26,Sarah Anderson,dhawp@webs.com,5876357,Velenje,zemljisce
27,Michael Davis,akristufekq@imdb.com,8611393,Kamnik,zemljisce
28,David Wilson,jsimlar@latimes.com,6965905,Celje,hisa
29,Emily Johnson,lstearness@wix.com,961768,Novo Mesto,stanovanje
30,Emily Johnson,rlembket@sbwire.com,9638993,Ptuj,hisa
31,Michael Davis,moughtrightu@goo.ne.jp,3113718,Koper,stanovanje
32,John Smith,kgrizardv@economist.com,7170066,Celje,zemljisce
33,Michael Davis,fwaddupw@etsy.com,7641036,Ptuj,zemljisce
34,Emily Johnson,rbrahmx@yahoo.com,4225823,Ljubljana,hisa
35,Sarah Anderson,agisbourny@opera.com,5322056,Kranj,hisa
36,Michael Davis,dphoebez@amazonaws.com,5994773,Maribor,hisa
37,David Wilson,dpieterick10@privacy.gov.au,3352424,Celje,zemljisce
38,Michael Davis,adoreward11@webs.com,9642129,Kamnik,stanovanje
39,David Wilson,snewhisa12@statcounter.com,6173233,Novo Mesto,hisa
40,David Wilson,jstainton13@nih.gov,3295508,Ptuj,hisa
41,John Smith,adesquesnes14@cbslocal.com,9650632,Trbovlje,stanovanje
