id,lastnik,cena,vrsta,lokacija
1,Emily Johnson,5878994,stanovanje,Velenje
2,John Smith,7044193,hisa,Maribor
3,Daniel Brown,8701589,stanovanje,Ptuj
4,Michael Davis,4013391,stanovanje,Ptuj
5,Michael Davis,9585565,hisa,Kamnik
6,John Smith,698162,stanovanje,Kamnik
7,Daniel Brown,6894214,stanovanje,Kranj
8,John Smith,4438798,hisa,Trbovlje
9,John Smith,2871601,zemljisce,Maribor
10,Emily Johnson,157930,hisa,Kamnik
11,John Smith,4790118,zemljisce,Novo Mesto
12,John Smith,7469605,zemljisce,Koper
13,Michael Davis,8074073,stanovanje,Trbovlje
14,Daniel Brown,5055362,hisa,Novo Mesto
15,Daniel Brown,3902878,stanovanje,Kranj
16,Michael Davis,8051341,zemljisce,Koper
17,Emily Johnson,3061820,stanovanje,Ptuj
18,Daniel Brown,595705,stanovanje,Kranj
19,Emma Wilson,9721525,zemljisce,Koper
20,Emma Wilson,7089292,zemljisce,Maribor
21,Michael Davis,8128218,zemljisce,Velenje
22,John Smith,4222242,hisa,Novo Mesto
23,Emma Wilson,1577407,stanovanje,Kamnik
24,Emma Wilson,3782924,stanovanje,Celje
25,John Smith,8868707,hisa,Maribor
26,Michael Davis,3755707,hisa,Novo Mesto
27,Daniel Brown,3427240,zemljisce,Maribor
28,Michael Davis,1354401,stanovanje,Velenje
29,Daniel Brown,3638565,hisa,Velenje
30,Emma Wilson,2332431,hisa,Celje
31,Emily Johnson,9245549,zemljisce,Kamnik
32,Emily Johnson,7013293,hisa,Kamnik
33,Michael Davis,3390109,hisa,Celje
34,John Smith,2751104,stanovanje,Maribor
35,Michael Davis,3020452,stanovanje,Maribor
36,Michael Davis,7339829,zemljisce,Kamnik
37,Emily Johnson,5247751,stanovanje,Maribor
38,Michael Davis,3100866,hisa,Ljubljana
39,Daniel Brown,520396,zemljisce,Kamnik
40,Emma Wilson,7277943,zemljisce,Velenje
41,Emily Johnson,7028088,zemljisce,Kranj
42,John Smith,9180177,stanovanje,Novo Mesto
43,Emily Johnson,9107329,stanovanje,Koper
44,John Smith,6253871,zemljisce,Velenje
45,John Smith,9053280,stanovanje,Celje
46,Emily Johnson,7673950,zemljisce,Koper
47,Emma Wilson,2651073,stanovanje,Kamnik
48,Emma Wilson,2799353,hisa,Kamnik
